config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
97,1470.4540359973907,0.8188948723952236,0.9011,0.8202388119606663,cocktails_smac,electricity,44120,local search
103,1215.0646350383759,0.7878716928119879,0.8057,0.7934477222556693,cocktails_smac,electricity,44120,local search
111,803.4486184120178,0.8138609225005854,0.8669,0.8191852297812563,cocktails_smac,electricity,44120,local search
112,855.2853381633759,0.8000468274408804,0.8195,0.8031808147702187,cocktails_smac,electricity,44120,random search
114,932.4709990024567,0.8159681573402013,0.8788,0.8194862532610877,cocktails_smac,electricity,44120,local search
113,940.8384366035461,0.8208850386326387,0.9233,0.8259582580774634,cocktails_smac,electricity,44120,local search
116,806.1697175502777,0.8138609225005854,0.9305,0.8203391531206101,cocktails_smac,electricity,44120,local search
115,928.1590065956116,0.8180753921798174,0.905,0.8203893237005819,cocktails_smac,electricity,44120,local search
120,826.6924705505371,0.8054319831421213,0.8431,0.8136664659843468,cocktails_smac,electricity,44120,local search
117,853.9270119667053,0.7902130648560056,0.8055,0.8001204093919325,cocktails_smac,electricity,44120,random search
101,1837.8299202919006,0.7658627955982206,0.7846,0.7743327312863737,cocktails_smac,electricity,44120,random search
119,951.1051871776581,0.8228752048700538,0.8981,0.8254063816977725,cocktails_smac,electricity,44120,local search
122,861.5082671642303,0.822641067665652,0.9356,0.8259582580774634,cocktails_smac,electricity,44120,random search
125,816.4699261188507,0.8263872629360806,0.8982,0.828266104756171,cocktails_smac,electricity,44120,local search
118,1182.0765116214752,0.81315851088738,0.8487,0.8176801123820991,cocktails_smac,electricity,44120,local search
128,779.2263655662537,0.8193631468040271,0.8649,0.8228978526991773,cocktails_smac,electricity,44120,random search
108,1963.8071706295013,0.7710138140950598,0.7948,0.7792494481236203,cocktails_smac,electricity,44120,random search
127,940.281676530838,0.8198314212128307,0.8929,0.8263596227172386,cocktails_smac,electricity,44120,local search
121,1239.0746114253998,0.8144462655115898,0.8776,0.8177302829620711,cocktails_smac,electricity,44120,local search
126,1041.8937504291534,0.8165535003512058,0.8399,0.8206903471804134,cocktails_smac,electricity,44120,local search
123,1227.9364058971405,0.8119878248653711,0.8874,0.8152217539634758,cocktails_smac,electricity,44120,random search
129,807.923835515976,0.8139779911027862,0.9444,0.822998193859121,cocktails_smac,electricity,44120,local search
110,1852.3224380016327,0.7584874736595645,0.774,0.7686634557495484,cocktails_smac,electricity,44120,random search
130,869.5986430644989,0.8236946850854601,0.9077,0.8273630343166767,cocktails_smac,electricity,44120,local search
124,1312.4210102558136,0.8157340201357995,0.8799,0.8168272125225767,cocktails_smac,electricity,44120,local search
132,838.8591439723969,0.8179583235776164,0.9116,0.8215432470399358,cocktails_smac,electricity,44120,local search
131,918.4875009059906,0.8147974713181925,0.8357,0.8176801123820991,cocktails_smac,electricity,44120,random search
136,902.7495856285095,0.8255677827206743,0.8934,0.8255067228577162,cocktails_smac,electricity,44120,local search
134,927.2356593608856,0.7904472020604074,0.8031,0.7987658037326911,cocktails_smac,electricity,44120,random search
135,924.2745051383972,0.8186607351908218,0.8477,0.8205900060204696,cocktails_smac,electricity,44120,local search
133,1027.1449434757233,0.8109342074455631,0.8342,0.8161248244029701,cocktails_smac,electricity,44120,random search
